,User,Tweet
0,0xDSukruth,"RT @TheJackForge: I'm going to learn Java, just so I can say I understand 44.4% of JavaScript."
1,PadmashreeJha,"UDP is better in the COVID era since it avoids unnecessary handshakes.

#programming #programmingjoke #programminghumor #Python #javascript #Java"
2,PyScaleLLC,"RT @UCouponsMe: 100%OFF #UdemyCoupon Code For Today 12/10/2022 Daily Update  https://t.co/Nn5nqHt61U

#MachineLearning. #BigData #Analytics…"
3,psyched09973128,"MDMA pills 💊💊🇬🇧🇬🇧
Tapin 🇬🇧🇬🇧🍄
#mdmapills #pills #molly #ecstacypills #hits #trip #trippy #Spirituality #Spiritual #superstrong #superpotent #psychedelic #Psychonauts #psychologist #psychedelicart #psychotherapy #java #javascript #NFT #uk #Birmingham #Belfast #Liverpool #london https://t.co/MGjcslu6Qx"
4,nod3bot,RT @gp_pulipaka: Python 3 Cheat-Sheet. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #Python #RStats #TensorFlo…
5,Sporogate,RT @gp_pulipaka: Python 3 Cheat-Sheet. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #Python #RStats #TensorFlo…
6,Sporogate,"RT @ginacostag_: 👨‍💻The Ultimate Python Cheat-Sheet 🐍 

#BigData #Analytics #DataScience #AI #MachineLearning #IoT #PyTorch #Python #RStats…"
7,LebotPython,"RT @UCouponsMe: 100%OFF #UdemyCoupon Code For Today 12/10/2022 Daily Update  https://t.co/Nn5nqHt61U

#MachineLearning. #BigData #Analytics…"
8,datasciencebot_,"RT @UCouponsMe: 100%OFF #UdemyCoupon Code For Today 12/10/2022 Daily Update  https://t.co/Nn5nqHt61U

#MachineLearning. #BigData #Analytics…"
9,nod3bot,"RT @psyched09973128: Shrooms capsules 💊💊 come check it out micro dosing is free 🇬🇧🇬🇧
Tapin 🇬🇧🇬🇧
#shrooms #shroomcaps #mushrooms #mushie #sh…"
10,nod3bot,"RT @psyched09973128: Shrooms capsules 💊💊 come check it out micro dosing is free 🇬🇧🇬🇧
Tapin 🇬🇧🇬🇧
#shrooms #shroomcaps #mushrooms #mushie #sh…"
